date,hash,text,compound,sentiment
2009-04-06,-3226215024184122354,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",-0.0173,neutral
2009-04-06,-8566799338810532356,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,-0.75,negative
2009-04-06,-3994052962521124910,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,0.4939,positive
2009-04-06,5913508604992698896,my whole body feels itchy and like its on fire ,-0.25,negative
2009-04-06,-2292813871534072460,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",-0.4939,negative
2009-04-06,-7406766267944406432,@Kwesidei not the whole crew ,0.0,neutral
2009-04-06,2292358609254127551,Need a hug ,0.4767,positive
2009-04-06,-6752845756081056180,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",0.6208,positive
2009-04-06,-2323343448649231111,@Tatiana_K nope they didn't have it ,0.0,neutral
2009-04-06,2939096968243241452,@twittera que me muera ? ,0.0,neutral
2009-04-06,5923029712202514057,spring break in plain city... it's snowing ,0.0,neutral
2009-04-06,-7541026786358644087,I just re-pierced my ears ,0.0,neutral
2009-04-06,7837269442330336733,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,-0.5994,negative
2009-04-06,-8305602002950358128,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",-0.1027,negative
2009-04-06,1044330247920889076,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",0.3724,positive
2009-04-06,5546335244273365481,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,0.4545,positive
2009-04-06,7129782862007644066,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,-0.9081,negative
2009-04-06,4195036046663976106,about to file taxes ,0.0,neutral
2009-04-06,-7135639409875432782,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,0.6988,positive
2009-04-06,7884191777270566950,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,0.1779,positive
2009-04-06,7575320247633251883,@alydesigns i was out most of the day so didn't get much done ,0.0,neutral
2009-04-06,8840891724298255003,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",0.2325,positive
2009-04-06,-2956080034177965514,@angry_barista I baked you a cake but I ated it ,0.0,neutral
2009-04-06,7650122889298925509,this week is not going as i had hoped ,0.3818,positive
2009-04-06,8068936552686721728,blagh class at 8 tomorrow ,0.0,neutral
2009-04-06,-5155903248405692285,I hate when I have to call and wake people up ,-0.5719,negative
2009-04-06,397662852939821175,Just going to cry myself to sleep after watching Marley and Me.  ,-0.4767,negative
2009-04-06,8083280545897948183,im sad now  Miss.Lilly,-0.4767,negative
2009-04-06,-6341790940905720421,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,0.8106,positive
2009-04-06,-5107049848447154009,Meh... Almost Lover is the exception... this track gets me depressed every time. ,-0.024,neutral
2009-04-06,7386511295693925242,some1 hacked my account on aim  now i have to make a new one,-0.4019,negative
2009-04-06,-459382966570412545,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,-0.2144,negative
2009-04-06,-5456834652389942591,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,0.0,neutral
